i,Attribute Name,Contents,Type,Format,Range,Required,PK or FK,FK Referencd Table
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
AVAILABILITY_STATUS,availability_status_id,ID ของสถานะการใช้งานครุภัณฑ์,INTEGER,###,NA,Y,PK,
,status_code,รหัสของสถานะ(ชื่อ eng),VARCHAR(20),xxxxxxxxxx,NA,Y,,
,status_name,ชื่อของสถานะ(ชื่อ thai),VARCHAR(50),xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
ASSET_STATUS,asset_status_id,ID ของสถานะครุภัณฑ์,INTEGER,###,NA,Y,PK,
,status_code,รหัสของสถานะ(ชื่อ eng),VARCHAR(20),xxxxxxxxxx,NA,Y,,
,status_name,ชื่อของสถานะ(ชื่อ thai),VARCHAR(50),xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
ASSET_DOCUMENT,asset_document_id,ID ของเอกสารครุภัณฑ์,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,asset_id,ID ของครุภัณฑ์,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,ASSET
,document_type,ประเภทของเอกสาร,ENUM,xxxxxxxxxx,"MANUAL', 'WARRANTY', 'CONTRACT', 'PHOTO', 'OTHER'",Y,,
,file_path,ที่อยู่ไฟล์เอกสาร,TEXT,xxxxxxxxxx,NA,Y,,
,file_name,ชื่อไฟล์เอกสาร,VARCHAR(255),xxxxxxxxxx,NA,Y,,
,mime_type,รหัสรูปแบบของไฟล์(ex.application/pdf),VARCHAR(100),xxxxxxxxxx,NA,Y,,
,file_size,ขนาดไฟล์,BIGINT,###,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,created_by(user_id),ผู้ที่เพิ่มข้อมูลเข้าระบบ,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,USER
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
BORROW_TRANSACTION,borrow_transaction_id,ID ของรายการยืม-คืน,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,asset_id,ID ของครุภัณฑ์,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,ASSET
,borrower_id(user_id),ID ของผู้ยืม,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,USER
,returned_by_user_id,ID ของผูู้คืน,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,,FK,USER
,received_by_user_id,ID ของผู้รับคืน,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,,FK,USER
,borrow_status_id,ID ของสถานะรายการยืม-คืน,INTEGER,###,NA,Y,FK,BORROW_STATUS
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,return_date,วันเวลาที่คิน,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,return_condition,สภาพเครื่องตอนคืน,ENUM,xxxxxxxxxx,"Normal', 'Damage'",,,
,return_method,วิธีการคืน,ENUM,xxxxxxxxxx,"self_return', 'staff_pickup'",,,
,return_remark,หมายเหตุ,TEXT,xxxxxxxxxx,NA,,,
,,,,,,,,
BORROW_STATUS,borrow_status_id,ID ของสถานะรายการยืม-คืน,INTEGER,###,NA,Y,PK,
,status_code,รหัสของสถานะ(ชื่อ eng),VARCHAR(20),xxxxxxxxxx,NA,Y,,
,status_name,ชื่อของสถานะ(ชื่อ thai),VARCHAR(50),xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
COMPANY,company_id,ID ของบริษัท,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,company_code,รหัสของบริษัท,VARCHAR(20),xxxxxxxxxx,NA,Y,,
,name,ชื่อของบริษัท,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,tel,เบอร์โทรศัพท์ติดต่อของบริษัท,VARCHAR(20),xxxxxxxxxx,NA,,,
,address,ที่อยู่ของบริษัท,TEXT,xxxxxxxxxx,NA,,,
,fax,เบอร์แฟกซ์สําหรับส่งเอกสารของบริษัท,VARCHAR(20),xxxxxxxxxx,NA,,,
,group,หมวดหมู่ทางธุรกิจของบริษัทคู่ค้า,VARCHAR(50),xxxxxxxxxx,NA,,,
,remark,หมายเหตุ,TEXT,xxxxxxxxxx,NA,,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
ROLE,role_id,ID ของบทบาท,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,role_name,ชื่อของบทบาท,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
SECTION,section_id,ID ของแผนก,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,section_code,รหัสของแผนก,VARCHAR(20),xxxxxxxxxx,NA,Y,,
,name,ชื่อของแผนก,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,tel,เบอร์ของแผนก,VARCHAR(20),xxxxxxxxxx,NA,Y,,
,building,ตึกที่แผนกตั้งอยู่,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
USER,user_id,ID ของผู้ใช้,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,PK,
,user_name,ชื่อผู้ใช้,VARCHAR(50),xxxxxxxxxx,NA,Y,,
,first_name,ชื่อจริงของผู้ใช้,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,last_name,นามสกุลของผู้ใช้,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,email,อีเมลของผู้ใช้,VARCHAR(100),xxxxxxxxxx,NA,Y,,
,password_hash,รหัสผ่านของผู้ใช้,VARCHAR(255),xxxxxxxxxx,NA,Y,,
,section_id,ID ของแผนก,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,FK,SECTION
,role,บทบาทของ user,ENUM,xxxxxxxxxxx,{ADMINMANAGERPARCEL_STAFFASSET_CENTER_STAFFDEPARTMENT_STAFFMAINTENANCE_STAFF},Y,,
,image_url,ลิ้งของรูปภาพ,TEXT,xxxxxxxxxx,NA,Y,,
,createdAt,วันเวลาที่เพิ่มข้อมูลเข้าระบบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,วันเวลาที่แก้ไขข้อมูลล่าสุด,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,deleteAt,วันเวลาที่ถูกลบ,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,,,,,,,,
ASSET_LOST,lost_id,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,discoveredAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,lastSeenLocation,,VARCHAR(255),xxxxxxxxxxx,NA,Y,,
,asset_id,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,createdBy,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,updatedBy,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,createdAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,,,,,,,,
ASSET_DISPOSAL,disposal_id,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,pendingReason,,TEXT,xxxxxxxxxxx,NA,Y,,
,pendingAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,disposedAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,,,
,disposalReason,,TEXT,xxxxxxxxxxx,NA,,,
,remark,,TEXT,xxxxxxxxxxx,NA,,,
,asset_id,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,,,
,disposal_status_id,,INT,###,NA,Y,,
,createdBy,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,updatedBy,,UUID,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,NA,Y,,
,createdAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
,updatedAt,,TIMESTAMPTZ,YYYY-MM-DD HH:mm:ss±TZ,NA,Y,,
